Date,Open,High,Low,Close,Volume
2021-09-30,456.0,464.6,453.8,461.4,17335451
2021-09-29,461.6,465.0,450.2,465.0,18250450
2021-09-28,467.0,476.2,464.6,469.8,20947276
2021-09-27,459.0,473.0,455.2,464.6,17966998
2021-09-24,461.4,473.4,456.2,460.2,16656914
2021-09-23,460.2,469.6,456.4,463.2,22210868
2021-09-21,446.0,453.8,443.2,450.0,16556875
2021-09-20,456.6,457.4,448.0,454.2,15513224
2021-09-17,445.8,467.6,445.2,461.8,23982628
2021-09-16,446.8,454.8,445.0,451.0,24519868
2021-09-15,458.0,464.0,451.2,453.4,36166267
2021-09-14,476.4,482.8,468.8,472.8,19905281
2021-09-13,480.0,481.2,471.0,478.0,27815639
2021-09-10,491.2,494.8,481.2,490.0,35671160
2021-09-09,509.0,511.5,479.0,480.0,54090872
2021-09-08,526.0,529.0,512.5,524.5,32995933
2021-09-07,510.0,520.0,508.0,515.5,24963247
2021-09-06,489.4,507.0,488.2,505.0,26773925
2021-09-03,496.6,497.6,481.6,488.0,27140480
2021-09-02,499.0,510.0,493.0,496.0,40472033
2021-09-01,485.0,494.6,477.8,488.4,35295245
2021-08-31,462.8,481.2,447.2,481.2,52180434
2021-08-30,464.2,468.4,457.6,465.8,18475336
2021-08-27,469.0,483.6,462.6,466.4,23463441
2021-08-26,474.6,480.8,468.4,471.8,17297873
2021-08-25,491.6,491.6,467.8,474.6,41229670
2021-08-24,446.8,472.0,445.2,472.0,49519276
2021-08-23,440.0,444.0,431.6,433.8,44618406
2021-08-20,421.2,433.2,412.2,425.4,52135904
2021-08-19,448.0,450.8,419.2,421.2,51101738
2021-08-18,430.0,443.0,430.0,436.2,26596939
2021-08-17,442.8,446.4,433.0,435.0,43144121
2021-08-16,463.6,466.4,449.0,453.8,29020693
2021-08-13,471.2,476.2,461.4,470.2,26417507
2021-08-12,482.6,491.2,476.2,482.0,16350894
2021-08-11,490.2,492.6,480.0,484.0,20145659
2021-08-10,478.0,493.0,473.2,486.2,40881986
2021-08-09,447.8,472.4,442.6,461.6,40956433
2021-08-06,444.8,460.4,440.0,453.6,42946505
2021-08-05,452.6,464.4,432.6,439.0,58625939
2021-08-04,435.0,469.8,434.0,456.8,46103478
2021-08-03,468.8,468.8,423.6,446.0,117812591
2021-08-02,476.0,478.8,459.2,475.0,29445076
2021-07-30,487.6,487.6,465.0,479.0,40460003
2021-07-29,480.0,494.2,468.6,492.0,72896321
2021-07-28,451.0,460.6,422.0,447.2,112864046
2021-07-27,465.4,480.8,438.8,446.0,108027219
2021-07-26,510.0,512.5,489.2,490.0,82290642
2021-07-23,546.0,546.5,529.0,531.0,16758793
2021-07-22,545.0,549.0,537.0,544.0,15692401
2021-07-21,542.5,544.5,530.0,538.0,20300976
2021-07-20,549.0,556.0,539.0,542.5,19813313
2021-07-19,560.0,560.0,545.5,549.5,16914661
2021-07-16,567.0,569.5,557.0,564.0,14760058
2021-07-15,561.5,572.0,560.5,565.0,20179717
2021-07-14,560.0,563.0,554.0,556.5,19908293
2021-07-13,541.0,562.5,533.0,555.5,33125942
2021-07-12,549.5,551.0,522.5,534.5,30642691
2021-07-09,525.0,542.0,509.5,538.5,42922226
2021-07-08,540.0,543.5,523.5,528.0,45688533
2021-07-07,552.0,553.5,538.5,548.5,30520727
2021-07-06,552.0,563.0,549.0,559.0,19473053
2021-07-05,570.0,572.0,548.5,554.0,43338133
2021-07-02,598.5,598.5,572.5,574.5,24938624
2021-06-30,597.5,597.5,584.0,584.0,13618352
2021-06-29,600.0,601.0,588.0,590.5,14714259
2021-06-28,603.0,606.0,592.0,595.5,11485959
2021-06-25,588.5,600.0,584.0,598.5,19252093
2021-06-24,584.0,587.5,580.0,583.0,10947302
2021-06-23,580.0,583.0,573.0,582.5,18388447
2021-06-22,589.0,589.0,571.5,573.5,30872900
2021-06-21,600.0,600.0,582.5,590.5,23508586
2021-06-18,602.0,608.0,599.5,603.0,12301606
2021-06-17,594.0,599.0,591.5,599.0,13771836
2021-06-16,597.0,598.5,594.5,596.5,9771103
2021-06-15,605.0,605.0,592.0,600.0,11531430
2021-06-11,608.5,608.5,596.0,596.0,14496695
2021-06-10,605.0,608.5,598.0,600.5,11727606
2021-06-09,600.0,606.0,597.5,603.0,7766899
2021-06-08,606.0,606.0,597.0,601.0,10324239
2021-06-07,611.0,611.5,598.5,600.5,19767396
2021-06-04,610.0,614.5,606.0,611.5,18940490
2021-06-03,628.5,629.5,612.0,615.5,12310451
2021-06-02,634.0,640.0,625.5,628.5,16332063
2021-06-01,619.0,632.0,617.0,628.0,18041560
2021-05-31,612.0,619.5,603.5,619.0,15518200
2021-05-28,608.0,612.0,601.0,601.5,15183086
2021-05-27,610.0,613.0,602.0,605.5,25744926
2021-05-26,624.5,624.5,612.0,618.0,18726374
2021-05-25,589.5,613.0,588.5,610.0,27044587
2021-05-24,586.5,588.0,576.5,585.5,16608372
2021-05-21,600.0,600.0,583.5,588.5,40340844
2021-05-20,611.0,615.5,603.5,609.0,15631656
2021-05-18,607.0,609.5,599.5,607.5,12188444
2021-05-17,593.0,604.5,589.0,600.5,19167047
2021-05-14,577.0,588.0,574.0,583.0,16014087
2021-05-13,593.0,595.0,580.0,580.0,17979776
2021-05-12,584.5,603.0,584.5,598.5,22903915
2021-05-11,582.0,586.0,566.5,584.5,34617590
2021-05-10,599.0,608.0,590.0,595.0,20540009
2021-05-07,613.0,613.0,600.0,600.0,17462909
2021-05-06,614.5,619.0,602.5,610.5,21407572
2021-05-05,615.5,617.0,610.5,610.5,11626909
